q,ic50
0,273.12
0.01,794.7103999999999
0.02,1202.3758
0.03,1326.9233999999997
0.04,1489.3804
0.05,1608.133
0.06,1712.5396
0.07,1882.6843999999999
0.08,2072.2788
0.09,2168.3792
0.1,2288.103
0.11,2415.2909
0.12,2500.4196
0.13,2607.6099
0.14,2783.188800000001
0.15,2884.1225
0.16,3004.7656
0.17,3175.7495
0.18,3271.1787999999997
0.19,3382.4660999999996
0.2,3471.398
0.21,3610.0942999999997
0.22,3666.3152000000005
0.23,3749.5154999999995
0.24,3859.4744
0.25,3926.985
0.26,4032.3820000000005
0.27,4154.2771
0.28,4281.2868
0.29,4383.2881
0.3,4491.064
0.31,4565.6679
0.32,4627.1048
0.33,4714.457200000001
0.34,4788.33
0.35000000000000003,4877.403
0.36,5024.625599999999
0.37,5110.2387
0.38,5188.7918
0.39,5273.0823
0.4,5392.432
0.41000000000000003,5517.0569
0.42,5639.6996
0.43,5713.5857
0.44,5866.2376
0.45,6018.32
0.46,6143.6188
0.47000000000000003,6255.880700000001
0.48,6396.2332
0.49,6498.0988
0.5,6673.17
0.51,6844.715099999999
0.52,6957.926000000001
0.53,7072.4604
0.54,7284.7996
0.55,7435.9465
0.56,7603.034
0.5700000000000001,7780.5929
0.58,7925.778199999999
0.59,8043.4239
0.6,8170.734
0.61,8298.0866
0.62,8449.0194
0.63,8572.7578
0.64,8783.6944
0.65,8931.200499999999
0.66,9116.5108
0.67,9243.191
0.68,9446.968
0.6900000000000001,9678.4225
0.7000000000000001,9850.863000000001
0.71,10008.7064
0.72,10169.9584
0.73,10381.4169
0.74,10598.842
0.75,10743.345000000001
0.76,10926.761999999999
0.77,11280.9152
0.78,11463.3606
0.79,11694.502800000002
0.8,11899.256000000003
0.81,12162.872000000003
0.8200000000000001,12410.7508
0.8300000000000001,12655.109800000002
0.84,12995.3272
0.85,13299.032
0.86,13702.127799999998
0.87,13932.5498
0.88,14358.776800000001
0.89,14754.670100000001
0.9,15352.173000000003
0.91,16117.558400000002
0.92,17068.302000000003
0.93,17682.704400000002
0.9400000000000001,18346.976000000002
0.9500000000000001,19617.832000000006
0.96,20108.680800000002
0.97,20858.6221
0.98,21909.645399999994
0.99,24399.964
1,32949.1
